Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
N,5.6,0.0,5.6,-32.4,4.7,-37.1,0.9703130611315121,-33.1,0.0,0.55,-32.4,4.0,4.7,True,5.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.75,4.7,1000.0,1000.0,1000,1000,1000,3.6,-0.1999999999999993,
O,4.9,0.0,4.9,-33.9,3.3,-37.2,0.9012768322728396,-34.6,0.0,0.5,-33.9,2.6,3.3,True,4.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.375,3.3,1000.0,1000.0,1000,1000,1000,0.0,0.0,
P,5.0,0.0,5.0,-32.3,3.9,-36.2,0.9072459003176324,-32.8,0.0,0.25,-32.3,3.4,3.9,True,3.0,1000,1000,1000.0,1000,12,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.625,3.9,1000.0,1000.0,1000,1000,1000,5.7,-2.1000000000000014,
Q,4.7,0.0,4.7,-32.7,4.7,-37.4,0.9673477723635772,-33.4,0.0,0.2,-32.7,4.0,4.7,True,4.0,1000,1000,1000.0,1000,15,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,4.7,1000.0,1000.0,1000,1000,1000,4.8,-1.1999999999999993,
R,16.7,0.0,16.7,-22.5,14.5,-37.0,0.988810620548411,-23.2,0.0,0.7,-22.5,13.8,14.5,True,1.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.5,14.5,1000.0,1000.0,1000,1000,1000,4.6,-1.5999999999999979,
S,17.2,0.0,17.2,-21.3,16.4,-37.7,0.983500347313895,-21.7,0.0,0.65,-21.3,16.0,16.4,True,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.625,16.4,1000.0,1000.0,1000,1000,1000,5.1,-2.299999999999997,
T,18.4,0.0,18.4,-19.8,15.8,-35.6,0.9915562799970374,-20.5,0.0,0.75,-19.8,15.1,15.8,True,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.375,15.8,1000.0,1000.0,1000,1000,1000,8.7,-5.399999999999999,
U,21.6,0.0,21.6,-19.3,19.1,-38.4,0.9909918178507182,-20.0,0.0,0.75,-19.3,18.4,19.1,True,1.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,19.1,1000.0,1000.0,1000,1000,1000,4.5,-1.8999999999999986,
V,22.5,0.0,22.5,-17.8,20.3,-38.1,0.9912371966814681,-18.2,0.0,0.75,-17.8,19.9,20.3,True,1.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,20.3,1000.0,1000.0,1000,1000,1000,8.1,-5.5,
W,26.8,0.0,26.8,-11.6,24.6,-36.2,0.9912310614702728,-12.0,0.0,0.8,-11.6,24.2,24.6,True,1.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.5,24.6,1000.0,1000.0,1000,1000,1000,5.5,-2.8999999999999986,
W108,12.8,0.0,12.8,-32.2,10.8,-43.0,0.9899373808570958,-32.7,0.0,0.6,-32.2,10.3,10.8,True,3.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.625,10.8,1000.0,1000.0,1000,1000,1000,6.9,-3.5,
AA,0.0,0.0,0.0,-31.5,0.0,-31.5,0.5414223067569617,-31.5,0.0,0.0,-31.5,0.0,0.0,True,8.0,1000,1000,1000.0,1000,20,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.375,0.0,1000.0,1000.0,1000,1000,1000,0.0,0.0,
BB,0.0,0.0,0.0,-33.0,0.0,-33.0,0.651320341509525,-33.0,0.0,0.0,-33.0,0.0,0.0,True,8.0,1000,1000,1000.0,1000,20,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.5,0.0,1000.0,1000.0,1000,1000,1000,0.0,0.0,
CC,0.0,0.0,0.0,-32.4,0.0,-32.4,0.6263749500355961,-32.4,0.0,0.0,-32.4,0.0,0.0,True,8.0,1000,1000,1000.0,1000,20,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,0.0,1000.0,1000.0,1000,1000,1000,0.0,0.0,
DD,3.3,0.0,3.3,-34.2,3.3,-37.5,0.9802520384745175,-34.2,0.0,0.15,-34.2,3.3,3.3,True,5.0,1000,1000,1000.0,1000,16,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,3.3,1000.0,1000.0,1000,1000,1000,0.0,0.0,
EE,3.3,0.0,3.3,-32.9,3.3,-36.2,0.9573351860845637,-32.9,0.0,0.15,-32.9,3.3,3.3,True,5.0,1000,1000,1000.0,1000,16,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.375,3.3,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J119,11.5,0.0,11.5,-28.6,10.9,-39.5,0.7748782353494167,-29.1,0.0,0.6,-28.6,10.4,10.9,True,4.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,10.9,1000.0,1000.0,1000,1000,1000,11.7,-8.100000000000001,
